authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Anuvabh Dutt,Georges Quénot,Denis Pellerin",2018-04-30,,ICLR 2018 - 6th International Conference on Learning Representations - Workshop Track,2018-04-30
"Mandar Chandorkar,Cyril Furtlehner,Bala Poduval,Enrico Camporeale,Michèle Sebag",2020-04-26,,ICLR 2020 - 8th International Conference on Learning Representations,2020-04-26
"Adrià Ruiz,Oriol Martinez,Xavier Binefa,Jakob Verbeek",2019-05-06,,ICLR workshop on Learning from Limited Labeled Data,2019-05-06
"Rémi Leblond,Jean-Baptiste Alayrac,Anton Osokin,Simon Lacoste-Julien",2018-04-30,,ICLR 2018 : 6th International Conference on Learning Representations,2018-04-30
"Felix Biggs,Benjamin Guedj",2022-03-28,,AISTATS 2022 - 25th International Conference on Artificial Intelligence and Statistics,2022-03-28
"Badr-Eddine Chérief-Abdellatif,Yuyang Shi,Arnaud Doucet,Benjamin Guedj",2022-03-28,,25th International Conference on Artificial Intelligence and Statistics (AISTATS) 2022,2022-03-28
"Grégoire Mialon,Alexandre d'Aspremont,Julien Mairal",2020-08-26,,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020-08-26
"Ulysse Marteau-Ferey,Francis Bach,Alessandro Rudi",2022-03-28,,AISTATS 2022 - 25th International Conference on Artificial Intelligence and Statistics,2022-03-28
"Alexandre Défossez,Francis Bach",2015,,"International Conference on Artificial Intelligence and Statistics (AISTATS),",2015
"Alexandre Hollocou,Thomas Bonald,Marc Lelarge",2019-04-16,,AISTATS 2019 - 22nd International Conference on Artificial Intelligence and Statistics,2019-04-16
"Valentina Zantedeschi,Aurélien Bellet,Marc Tommasi",2020-08-26,,AISTATS 2020 - The 23rd International Conference on Artificial Intelligence and Statistics,2020-08-26
"Robin Vogel,Aurélien Bellet,Stéphan Clémençon",2021,,AISTATS 2021 - 24th International Conference on Artificial Intelligence and Statistics,2021
